chain,protocol,source,source_port,destination,destination_port,action
FORWARD,udp,54.127.44.96,24907,238.87.19.106,50547,DROP
OUTPUT,tcp,37.163.48.14,19233,62.27.23.195,36854,ACCEPT
INPUT,tcp,32.23.108.14,11231,55.4.132.49,49847,DROP
INPUT,udp,215.245.11.51,12768,202.82.37.127,24017,DROP
OUTPUT,udp,184.114.176.119,48118,211.236.108.120,51165,ACCEPT
INPUT,tcp,249.76.67.160,8662,213.98.16.50,18836,DROP
INPUT,tcp,30.59.246.26,47989,18.176.125.205,62406,DROP
FORWARD,tcp,71.238.67.148,41558,8.152.175.54,4894,DROP
INPUT,udp,231.83.169.26,10130,103.203.247.247,31701,ACCEPT
OUTPUT,udp,84.255.175.20,30043,46.138.183.189,31968,ACCEPT
OUTPUT,tcp,217.167.151.136,23513,131.161.154.94,28881,ACCEPT
FORWARD,udp,32.152.139.30,11279,192.83.150.193,57326,ACCEPT
FORWARD,udp,138.19.67.248,13257,7.94.12.39,57479,ACCEPT
INPUT,udp,27.86.55.231,37691,94.11.158.126,18875,DROP
FORWARD,tcp,131.96.34.41,40846,42.25.168.175,63938,DROP
INPUT,udp,183.133.48.51,35549,111.54.168.194,28924,DROP
OUTPUT,udp,172.41.129.137,61604,131.59.243.180,3956,ACCEPT
INPUT,tcp,248.67.124.182,9003,248.118.55.113,43179,ACCEPT
FORWARD,udp,74.104.233.209,56782,144.209.159.210,21990,ACCEPT
FORWARD,udp,217.240.157.169,34356,191.80.146.11,33201,DROP
INPUT,tcp,161.153.96.44,14151,171.55.116.88,15474,ACCEPT
OUTPUT,tcp,33.204.19.169,20506,156.110.129.57,32634,DROP
OUTPUT,udp,53.37.189.77,32128,119.232.35.144,1028,ACCEPT
OUTPUT,tcp,64.51.161.35,55512,112.186.241.157,51995,ACCEPT
INPUT,udp,137.144.182.200,25178,216.114.47.161,16231,ACCEPT
OUTPUT,udp,10.60.172.183,61343,149.58.61.46,64798,DROP
FORWARD,tcp,95.0.168.46,3066,13.148.168.146,7284,DROP
OUTPUT,udp,208.175.116.84,61887,114.33.204.40,20764,ACCEPT
OUTPUT,udp,254.160.68.198,42247,68.224.225.255,8137,ACCEPT
INPUT,tcp,18.76.129.8,26918,211.255.55.60,19110,ACCEPT
INPUT,tcp,213.6.145.59,38909,71.164.125.247,30739,DROP
OUTPUT,tcp,168.112.228.115,45695,170.138.15.7,33075,ACCEPT
OUTPUT,tcp,56.186.149.218,33343,60.54.24.22,47821,DROP
FORWARD,tcp,167.101.124.21,22946,206.132.32.176,8018,ACCEPT
FORWARD,tcp,106.248.140.117,31172,105.177.43.10,56148,ACCEPT
OUTPUT,tcp,189.78.199.121,55966,33.147.199.128,3518,ACCEPT
OUTPUT,tcp,213.174.230.108,39694,129.210.135.15,12153,DROP
OUTPUT,tcp,228.193.12.40,43868,42.123.22.249,46156,ACCEPT
FORWARD,tcp,69.111.163.208,621,223.60.22.12,13994,DROP
INPUT,tcp,43.169.233.69,27342,46.132.51.145,19576,ACCEPT
INPUT,tcp,20.222.81.94,17224,209.33.147.183,47952,ACCEPT
FORWARD,udp,12.207.137.208,47741,42.118.115.120,61255,DROP
INPUT,tcp,200.26.192.228,34762,212.129.99.104,53463,ACCEPT
OUTPUT,udp,162.165.221.9,30790,212.151.133.31,46413,DROP
INPUT,udp,24.218.190.132,54141,21.155.0.207,54258,ACCEPT
FORWARD,tcp,193.141.247.249,25698,23.11.95.218,60572,DROP
FORWARD,tcp,227.222.96.36,61888,221.95.128.246,45132,DROP
INPUT,udp,84.104.237.208,53356,3.131.219.137,26533,ACCEPT
FORWARD,tcp,96.120.29.51,57908,114.90.150.146,234,DROP
FORWARD,udp,88.76.50.130,20234,248.237.27.181,7195,DROP
INPUT,tcp,98.181.65.1,42700,73.23.77.106,15991,ACCEPT
FORWARD,udp,168.132.60.198,548,72.38.107.232,31657,ACCEPT
OUTPUT,tcp,129.200.89.238,10797,147.46.222.102,3264,ACCEPT
OUTPUT,tcp,214.35.58.182,34941,123.160.33.249,56506,ACCEPT
FORWARD,udp,200.175.66.93,50274,79.248.89.24,50165,DROP
FORWARD,udp,5.250.159.49,31481,44.153.164.222,50375,DROP
OUTPUT,tcp,112.198.135.156,8455,61.52.159.53,3980,DROP
OUTPUT,tcp,133.95.15.81,47777,91.128.111.93,51375,DROP
OUTPUT,udp,107.82.171.160,40437,22.115.31.79,21646,DROP
INPUT,tcp,62.65.153.62,50166,7.85.91.43,36131,ACCEPT
FORWARD,udp,31.195.52.165,35854,212.170.210.255,10545,DROP
FORWARD,udp,40.86.248.6,8178,164.128.233.153,46070,DROP
FORWARD,tcp,199.128.16.146,35144,59.19.236.202,22972,DROP
INPUT,tcp,49.134.255.38,31813,208.162.82.82,30601,ACCEPT
OUTPUT,udp,153.162.123.129,59948,189.119.105.213,58561,ACCEPT
INPUT,tcp,157.146.146.26,18571,5.208.188.127,6313,DROP
OUTPUT,tcp,6.197.243.103,16955,51.83.153.229,48775,DROP
OUTPUT,udp,222.236.18.213,51933,47.94.136.85,63104,ACCEPT
FORWARD,tcp,15.229.120.220,52602,167.59.98.191,6316,DROP
FORWARD,tcp,237.241.178.58,51450,42.230.32.21,7479,DROP
FORWARD,tcp,159.41.137.169,50035,39.233.172.149,781,DROP
OUTPUT,tcp,194.252.0.82,37300,61.10.113.156,47685,DROP
OUTPUT,udp,23.159.44.163,13653,175.158.19.122,11553,ACCEPT
INPUT,tcp,245.177.14.240,56062,56.86.244.45,3307,ACCEPT
FORWARD,tcp,149.237.133.177,19001,134.11.34.156,21479,ACCEPT
FORWARD,tcp,140.99.82.6,54058,26.170.33.232,1332,DROP
FORWARD,tcp,158.24.49.240,2350,83.75.86.119,59265,DROP
OUTPUT,udp,167.210.249.255,15867,161.35.247.140,40250,DROP
OUTPUT,tcp,91.80.251.140,14475,36.47.153.184,35386,DROP
FORWARD,tcp,103.54.53.57,43630,80.190.176.2,47020,DROP
INPUT,udp,59.73.100.187,42910,76.146.151.107,65002,ACCEPT
OUTPUT,tcp,185.224.201.233,21070,61.83.230.0,25326,DROP
OUTPUT,tcp,28.129.207.243,62023,154.77.144.118,25584,DROP
FORWARD,udp,132.171.199.8,57794,159.122.142.189,2141,DROP
OUTPUT,udp,101.191.200.108,31654,33.132.110.137,13056,DROP
OUTPUT,tcp,240.248.53.83,25339,56.5.167.123,17025,DROP
FORWARD,udp,226.172.2.58,37079,106.90.158.24,59521,ACCEPT
FORWARD,udp,41.192.255.175,21847,207.167.203.213,47498,ACCEPT
OUTPUT,tcp,76.226.147.210,15178,88.58.123.222,15731,ACCEPT
INPUT,udp,20.240.243.124,29732,116.63.102.14,33525,ACCEPT
INPUT,tcp,124.110.222.85,54587,215.188.91.18,19029,DROP
INPUT,tcp,112.37.101.85,27168,24.88.71.214,34766,ACCEPT
INPUT,udp,17.166.22.237,56757,59.51.160.108,15180,DROP
OUTPUT,udp,217.204.98.250,30467,243.152.7.50,10092,DROP
OUTPUT,tcp,53.177.222.52,46364,211.129.159.159,49190,ACCEPT
INPUT,tcp,3.127.223.157,33662,69.254.28.171,34515,ACCEPT
FORWARD,udp,161.56.175.78,32732,57.252.82.58,11580,ACCEPT
FORWARD,tcp,176.245.86.191,63373,139.255.228.182,34436,ACCEPT
OUTPUT,udp,128.65.112.50,19716,234.167.129.71,58290,ACCEPT
INPUT,tcp,158.160.5.184,32074,246.245.187.41,27366,DROP
FORWARD,udp,85.137.82.145,276,15.66.202.145,25801,DROP
INPUT,tcp,175.31.86.246,51001,8.231.211.55,20322,ACCEPT
FORWARD,tcp,47.176.167.21,54876,214.31.23.179,61449,DROP
FORWARD,udp,210.229.198.220,2262,129.137.153.150,110,DROP
FORWARD,tcp,5.123.41.224,16689,119.196.156.247,36826,ACCEPT
FORWARD,udp,98.235.157.109,22070,224.101.33.171,27662,DROP
OUTPUT,udp,196.41.213.23,19851,147.67.211.139,34898,DROP
FORWARD,tcp,129.222.160.53,26532,7.203.165.245,20944,DROP
INPUT,udp,160.134.175.60,15602,240.246.254.191,53557,DROP
OUTPUT,udp,245.189.196.33,3018,58.233.67.78,42994,DROP
FORWARD,tcp,90.203.240.131,29067,195.218.168.71,53925,DROP
FORWARD,udp,39.6.82.149,40644,61.88.252.2,57671,DROP
OUTPUT,udp,251.231.63.187,59914,193.220.127.69,27084,ACCEPT
OUTPUT,tcp,148.114.54.185,52044,9.45.227.244,57781,DROP
INPUT,udp,28.171.224.97,38802,210.120.114.188,52764,ACCEPT
FORWARD,tcp,196.232.0.82,8474,249.64.226.154,63863,ACCEPT
INPUT,tcp,240.121.112.177,20218,215.133.205.157,55946,ACCEPT
INPUT,tcp,32.244.88.219,22546,200.94.246.52,10004,DROP
INPUT,tcp,86.13.42.205,48565,96.137.108.76,57958,DROP
FORWARD,tcp,30.53.143.60,21182,62.96.209.169,59442,ACCEPT
FORWARD,udp,122.14.9.195,19191,32.67.36.196,45725,DROP
INPUT,tcp,54.184.81.48,29968,36.15.168.160,51493,DROP
FORWARD,tcp,94.28.74.92,46836,26.198.90.142,51712,ACCEPT
FORWARD,udp,211.55.165.50,2448,18.7.92.58,33627,DROP
INPUT,udp,67.87.101.106,4426,104.212.141.53,15807,DROP
OUTPUT,udp,247.63.175.150,26369,136.101.66.217,44589,DROP
INPUT,udp,202.233.104.44,2991,10.219.26.46,18536,DROP
OUTPUT,udp,169.233.139.242,58253,212.162.60.223,3625,DROP
FORWARD,udp,160.26.176.2,56561,36.64.13.22,57944,DROP
OUTPUT,tcp,89.220.151.152,32278,149.58.153.199,37542,DROP
OUTPUT,tcp,169.212.136.238,46238,95.35.152.250,9124,DROP
FORWARD,tcp,95.129.80.239,12716,82.168.28.252,51595,DROP
OUTPUT,udp,47.72.8.189,14671,16.62.207.23,22471,ACCEPT
FORWARD,tcp,61.170.87.124,57203,111.242.38.218,19667,ACCEPT
OUTPUT,udp,101.23.63.144,38895,28.42.68.236,60533,DROP
OUTPUT,tcp,193.45.28.184,24633,211.151.163.10,5947,ACCEPT
OUTPUT,tcp,200.179.197.226,15115,239.9.222.71,36041,DROP
INPUT,udp,26.241.86.98,43609,219.185.215.39,37129,ACCEPT
OUTPUT,tcp,126.57.110.77,19970,91.123.51.129,19364,DROP
FORWARD,tcp,128.196.146.87,10474,80.169.224.68,53111,DROP
FORWARD,tcp,167.83.215.221,41358,113.207.190.118,63747,DROP
OUTPUT,udp,18.140.253.145,17095,164.55.92.202,58314,ACCEPT
INPUT,tcp,32.235.66.72,32681,120.56.179.114,1548,ACCEPT
FORWARD,tcp,80.143.214.222,29125,142.196.168.142,26981,ACCEPT
INPUT,udp,142.101.33.244,25411,210.212.157.107,39795,DROP
FORWARD,udp,253.188.92.184,60579,50.21.236.201,34959,DROP
FORWARD,udp,72.44.13.165,46367,53.253.201.151,60522,DROP
OUTPUT,udp,62.246.212.31,22371,16.168.87.244,64749,ACCEPT
OUTPUT,udp,24.29.56.141,15687,107.149.30.43,42338,ACCEPT
OUTPUT,udp,159.197.170.40,27323,218.159.227.145,13659,ACCEPT
FORWARD,tcp,220.94.247.197,34321,210.203.59.31,12843,ACCEPT
INPUT,tcp,195.190.28.59,33731,252.1.64.204,4154,DROP
FORWARD,tcp,163.62.38.145,42472,237.130.164.144,22543,DROP
FORWARD,udp,203.13.72.49,26757,176.54.240.20,31730,DROP
FORWARD,tcp,26.145.169.208,15163,182.139.62.171,27832,DROP
INPUT,udp,3.88.110.138,19564,150.50.15.235,6419,DROP
OUTPUT,udp,118.7.138.49,17384,243.188.112.202,56126,ACCEPT
INPUT,tcp,17.39.208.19,40065,115.130.160.184,28699,DROP
INPUT,udp,144.85.129.108,42482,3.191.1.33,55032,DROP
FORWARD,tcp,170.243.205.243,9985,237.137.189.220,19756,ACCEPT
FORWARD,udp,172.75.25.121,2402,54.85.1.135,13496,DROP
INPUT,tcp,199.64.29.246,14315,106.223.4.226,27270,DROP
INPUT,tcp,200.112.121.140,31339,72.248.125.143,31649,ACCEPT
FORWARD,udp,90.147.172.150,7883,47.190.189.125,55539,DROP
FORWARD,tcp,175.83.12.48,16341,244.86.81.248,54654,ACCEPT
FORWARD,tcp,49.216.145.153,23675,32.165.6.158,52958,ACCEPT
FORWARD,tcp,41.16.108.104,45208,172.62.159.60,14160,DROP
OUTPUT,tcp,65.172.49.38,36604,109.30.147.166,21137,ACCEPT
FORWARD,tcp,223.107.69.111,19490,101.13.159.170,44667,DROP
OUTPUT,tcp,85.191.81.226,31096,28.50.80.188,55492,ACCEPT
INPUT,tcp,60.229.59.77,5746,141.61.218.115,63785,ACCEPT
OUTPUT,udp,201.100.69.245,27411,130.123.75.224,2671,DROP
FORWARD,udp,198.8.130.242,65451,65.111.25.97,64539,ACCEPT
OUTPUT,udp,95.103.56.28,8216,212.216.23.186,59719,DROP
OUTPUT,udp,123.156.70.246,12550,94.131.218.207,23668,ACCEPT
INPUT,udp,242.75.124.17,34070,207.227.176.148,51980,DROP
FORWARD,tcp,47.158.105.155,14060,139.54.3.244,37639,ACCEPT
FORWARD,tcp,182.249.219.72,51253,184.118.49.179,25363,ACCEPT
INPUT,udp,39.27.42.107,60521,137.110.245.43,23223,ACCEPT
FORWARD,tcp,81.54.169.227,58571,2.133.0.57,14141,DROP
OUTPUT,tcp,59.211.48.173,43019,14.93.245.4,7148,DROP
FORWARD,udp,12.61.35.63,11226,125.180.163.96,15974,DROP
INPUT,udp,214.32.200.124,50540,125.4.159.122,57540,ACCEPT
OUTPUT,tcp,33.26.138.191,47633,23.87.103.136,26084,ACCEPT
INPUT,udp,132.34.224.80,15687,32.45.56.200,26607,DROP
FORWARD,tcp,151.192.208.147,39481,245.201.37.88,42534,ACCEPT
INPUT,tcp,89.86.4.88,4270,100.235.247.89,9002,DROP
INPUT,tcp,35.191.249.89,54904,93.53.31.253,57195,ACCEPT
FORWARD,udp,226.106.186.34,47867,83.20.76.113,28405,DROP
FORWARD,udp,158.217.51.40,7243,180.237.64.251,19467,ACCEPT
FORWARD,udp,103.119.135.131,25973,18.165.44.117,56087,ACCEPT
INPUT,udp,114.190.28.183,30778,93.191.123.201,48273,ACCEPT
FORWARD,tcp,222.229.85.57,16134,41.5.27.245,19101,DROP
INPUT,udp,36.81.75.188,60080,28.202.213.137,36687,DROP
OUTPUT,tcp,4.199.216.157,48850,224.167.232.139,7247,ACCEPT
OUTPUT,tcp,24.22.255.26,154,27.100.93.233,32130,DROP
FORWARD,tcp,245.197.133.116,53299,228.168.83.40,54367,ACCEPT
INPUT,tcp,183.115.236.47,14396,115.106.135.12,15127,ACCEPT
FORWARD,udp,21.50.78.207,29733,230.171.229.227,34528,DROP
FORWARD,tcp,181.104.47.116,27591,108.173.158.85,14940,DROP
INPUT,tcp,129.99.89.172,2384,35.16.149.228,13496,ACCEPT
INPUT,udp,56.81.6.71,55578,65.145.246.124,64936,DROP
OUTPUT,udp,207.67.169.176,45385,106.5.174.6,37849,DROP
FORWARD,tcp,170.237.186.90,48107,163.116.205.187,2297,ACCEPT
INPUT,udp,28.206.40.252,24070,88.219.137.243,13957,ACCEPT
FORWARD,tcp,86.57.51.152,37052,72.188.148.40,44659,ACCEPT
OUTPUT,udp,179.192.33.203,56071,43.124.63.107,51345,DROP
FORWARD,udp,218.52.208.118,48840,4.128.69.85,38220,DROP
INPUT,tcp,80.210.43.151,46125,125.93.233.17,31685,DROP
OUTPUT,udp,94.125.138.104,580,148.212.217.246,5779,DROP
OUTPUT,udp,227.236.113.26,37246,161.51.238.129,58692,ACCEPT
FORWARD,udp,19.240.171.52,51133,141.193.234.72,17229,ACCEPT
OUTPUT,udp,183.229.135.101,11623,215.201.72.210,2345,DROP
OUTPUT,tcp,217.95.223.148,26297,131.31.191.225,52336,ACCEPT
INPUT,udp,222.63.110.120,40028,7.124.132.201,10861,ACCEPT
OUTPUT,udp,160.134.35.13,55425,60.125.3.33,30794,DROP
OUTPUT,udp,60.166.206.248,50519,13.26.132.196,35018,ACCEPT
OUTPUT,udp,11.126.89.57,34776,225.94.173.202,23585,DROP
FORWARD,tcp,23.90.171.232,49253,58.242.184.137,38181,ACCEPT
FORWARD,udp,73.156.136.153,31711,194.209.4.50,20358,ACCEPT
INPUT,tcp,4.134.167.33,36742,156.182.37.40,59547,ACCEPT
OUTPUT,tcp,47.195.61.20,47367,89.11.18.191,19619,DROP
OUTPUT,tcp,137.242.82.88,31272,233.129.126.94,60732,ACCEPT
OUTPUT,tcp,103.174.194.228,43873,199.186.80.141,23622,DROP
OUTPUT,udp,162.222.8.111,6167,156.141.47.117,49680,ACCEPT
OUTPUT,tcp,228.99.52.230,7176,85.175.16.33,54197,ACCEPT
OUTPUT,tcp,67.43.7.96,49474,31.245.46.68,59421,DROP
FORWARD,udp,122.84.156.174,50666,254.83.163.226,36333,ACCEPT
FORWARD,udp,250.233.166.164,11764,1.213.246.176,44142,ACCEPT
OUTPUT,udp,81.52.23.89,5007,107.180.40.30,7917,ACCEPT
INPUT,tcp,218.250.79.124,26168,184.17.241.53,17286,DROP
INPUT,udp,212.203.111.17,12267,104.72.213.18,5509,ACCEPT
OUTPUT,tcp,134.49.54.83,23174,204.171.198.11,27121,ACCEPT
FORWARD,tcp,203.27.135.189,7531,237.200.219.250,15391,ACCEPT
OUTPUT,tcp,126.209.111.21,59140,182.136.40.80,27201,DROP
OUTPUT,udp,79.60.173.11,7088,134.52.182.45,38162,DROP
INPUT,tcp,19.102.76.43,61291,30.215.48.31,52653,DROP
INPUT,tcp,98.58.158.250,26675,97.252.27.24,31116,DROP
INPUT,tcp,148.82.29.222,46069,117.23.229.102,53294,ACCEPT
INPUT,tcp,118.191.30.59,54833,192.124.192.253,1220,ACCEPT
INPUT,udp,237.205.47.46,1502,231.143.83.111,64889,DROP
OUTPUT,udp,67.97.56.214,845,206.85.69.180,15384,DROP
INPUT,udp,162.240.70.72,545,193.171.71.31,25819,DROP
FORWARD,udp,251.26.77.41,14145,43.189.67.223,49461,DROP
FORWARD,udp,12.145.82.236,51208,114.208.208.223,35218,DROP
FORWARD,udp,40.184.17.33,16342,145.107.205.156,61749,ACCEPT
INPUT,tcp,179.62.48.19,35647,16.217.152.9,24061,ACCEPT
FORWARD,tcp,186.208.108.135,34464,92.188.178.111,58213,ACCEPT
FORWARD,tcp,182.51.37.178,56329,239.17.153.249,39386,DROP
INPUT,tcp,117.41.104.191,39640,44.65.210.33,9687,ACCEPT
INPUT,udp,34.109.212.148,9518,186.124.21.188,9265,ACCEPT
OUTPUT,udp,41.247.244.150,43995,181.200.27.25,62865,DROP
OUTPUT,udp,99.68.113.127,3941,162.201.157.91,7852,DROP
INPUT,tcp,168.236.191.120,37151,124.161.101.86,16611,ACCEPT
OUTPUT,udp,120.82.16.224,18138,229.238.185.49,9769,ACCEPT
FORWARD,tcp,190.142.164.61,48366,229.245.201.42,18790,ACCEPT
INPUT,udp,112.140.110.3,18980,205.43.77.65,32603,ACCEPT
FORWARD,udp,88.140.114.115,63941,235.25.223.148,18016,ACCEPT
FORWARD,tcp,64.159.149.113,4470,117.182.3.204,61027,ACCEPT
INPUT,tcp,115.1.118.89,18027,137.30.244.182,7412,DROP
INPUT,tcp,172.99.120.184,34191,162.10.215.189,27318,ACCEPT
FORWARD,tcp,126.244.145.92,34021,223.22.25.142,15168,ACCEPT
INPUT,udp,237.185.253.126,13889,174.149.163.255,55283,DROP
FORWARD,udp,249.130.162.33,58609,15.153.246.56,44418,DROP
FORWARD,tcp,239.155.101.241,63291,214.96.89.41,5380,DROP
FORWARD,tcp,157.215.90.226,52621,126.18.20.108,37752,ACCEPT
FORWARD,udp,16.255.39.161,18109,180.156.187.114,52520,ACCEPT
INPUT,tcp,177.250.198.163,15158,156.196.186.137,43030,DROP
INPUT,udp,115.232.167.45,25585,85.94.170.215,15250,DROP
INPUT,udp,75.30.0.54,7006,166.98.13.178,10062,ACCEPT
INPUT,tcp,160.217.63.23,23626,252.217.120.66,10322,DROP
INPUT,tcp,139.1.132.63,57228,208.5.83.101,28158,DROP
FORWARD,tcp,53.35.167.6,53942,121.11.45.72,60063,DROP
OUTPUT,tcp,50.156.178.65,49868,239.88.252.184,36839,DROP
FORWARD,tcp,229.89.118.26,5245,62.26.216.51,29121,ACCEPT
INPUT,udp,100.36.116.73,29724,185.30.103.101,31820,ACCEPT
INPUT,udp,209.144.18.131,65332,160.217.226.65,32989,DROP
FORWARD,udp,108.97.49.96,33022,217.156.185.164,42270,DROP
FORWARD,tcp,32.20.238.158,19834,222.11.246.21,31576,DROP
FORWARD,udp,40.109.61.110,25128,81.82.254.251,64260,DROP
OUTPUT,tcp,128.74.16.63,53289,121.235.172.163,10576,ACCEPT
INPUT,udp,222.238.212.138,9649,184.255.121.32,77,DROP
OUTPUT,tcp,177.251.10.120,6818,74.235.108.78,44071,DROP
FORWARD,tcp,67.148.82.181,51531,206.50.26.1,33421,DROP
FORWARD,udp,10.223.226.160,12254,107.243.136.94,65081,ACCEPT
INPUT,udp,88.54.185.68,42428,183.137.128.142,9377,DROP
FORWARD,udp,210.40.211.164,33234,96.33.181.152,58704,DROP
OUTPUT,udp,65.219.84.114,24773,35.205.26.45,57342,ACCEPT
FORWARD,tcp,131.211.0.226,36748,94.86.193.26,65408,ACCEPT
OUTPUT,udp,131.251.98.244,64962,53.36.17.230,47447,DROP
FORWARD,tcp,224.182.166.26,18037,197.175.237.232,8041,DROP
INPUT,tcp,177.173.89.167,37505,229.51.37.42,65518,DROP
INPUT,udp,253.21.250.132,31040,77.227.111.93,51467,ACCEPT
OUTPUT,udp,172.5.85.22,23739,55.218.132.94,36114,DROP
OUTPUT,udp,159.171.47.241,1397,133.2.36.136,26752,ACCEPT
OUTPUT,udp,188.10.156.200,64735,209.235.91.201,34012,DROP
OUTPUT,tcp,240.42.216.138,63368,109.110.3.192,5066,DROP
OUTPUT,udp,51.12.12.174,29679,117.205.22.172,11711,DROP
INPUT,tcp,139.88.82.120,15672,29.46.251.204,28630,ACCEPT
FORWARD,udp,252.53.76.86,2133,163.141.252.87,53425,DROP
FORWARD,tcp,213.210.159.186,35611,11.146.60.40,4031,DROP
FORWARD,udp,90.131.167.61,6898,176.13.49.96,62693,ACCEPT
OUTPUT,udp,106.108.62.240,6815,224.243.78.160,30278,DROP
INPUT,udp,125.170.88.112,44501,3.128.38.41,23292,ACCEPT
FORWARD,udp,65.68.212.227,49670,35.17.161.189,39047,DROP
INPUT,tcp,103.118.25.110,25898,59.127.144.5,44913,ACCEPT
INPUT,udp,74.5.65.108,54266,14.1.102.155,19055,ACCEPT
OUTPUT,tcp,231.99.192.106,13978,105.17.142.233,14472,DROP
FORWARD,udp,242.116.197.10,28945,112.205.208.80,35646,ACCEPT
INPUT,udp,73.250.92.138,56196,42.48.219.40,18411,DROP
FORWARD,udp,57.201.204.0,14625,89.210.51.213,28240,DROP
INPUT,tcp,153.7.27.120,45304,82.202.68.94,19137,ACCEPT
OUTPUT,udp,207.58.7.14,29751,93.135.139.139,6393,ACCEPT
OUTPUT,udp,84.221.97.99,16260,185.56.124.216,35649,DROP
FORWARD,udp,135.20.114.156,63754,165.137.69.162,6442,DROP
INPUT,tcp,3.57.245.139,60615,94.60.204.73,34788,ACCEPT
OUTPUT,udp,180.118.123.36,5834,175.237.184.32,26708,DROP
INPUT,tcp,219.226.228.37,28260,1.76.133.57,35925,ACCEPT
FORWARD,udp,227.16.68.96,37248,125.123.106.18,42747,DROP
FORWARD,udp,18.117.166.83,48994,157.237.76.43,13235,DROP
INPUT,udp,164.66.255.142,55409,203.185.247.24,59861,DROP
OUTPUT,udp,162.76.98.174,13261,21.14.145.176,36716,DROP
INPUT,udp,227.49.202.218,56082,60.3.50.175,15328,ACCEPT
FORWARD,tcp,167.23.167.143,37218,156.163.205.35,54933,DROP
FORWARD,udp,203.147.194.75,11814,214.254.180.73,47123,DROP
OUTPUT,tcp,212.148.112.71,34174,102.207.182.211,59289,DROP
OUTPUT,udp,105.86.140.59,5903,112.245.14.158,21275,ACCEPT
OUTPUT,udp,170.54.126.232,28736,95.19.38.127,812,ACCEPT
OUTPUT,tcp,64.19.37.110,48961,215.11.29.154,20461,ACCEPT
FORWARD,udp,80.186.63.103,14009,41.166.44.138,21476,ACCEPT
INPUT,tcp,121.25.160.235,46320,52.65.105.239,59605,ACCEPT
OUTPUT,udp,221.52.69.133,2087,148.29.58.6,49117,DROP
FORWARD,tcp,236.135.207.1,55533,68.168.27.121,26521,ACCEPT
INPUT,udp,161.26.37.5,29014,177.186.149.179,766,ACCEPT
OUTPUT,tcp,155.122.247.109,55663,4.10.77.255,54985,ACCEPT
OUTPUT,tcp,63.164.135.178,63287,85.174.210.58,63950,ACCEPT
INPUT,udp,156.238.60.169,3909,207.146.158.107,47187,ACCEPT
FORWARD,udp,205.158.115.91,52343,248.119.98.67,18824,DROP
FORWARD,udp,127.188.49.113,2324,123.35.225.84,14560,ACCEPT
FORWARD,tcp,154.111.168.7,38271,98.47.33.74,48566,ACCEPT
INPUT,udp,58.163.61.251,47933,105.167.38.211,41473,ACCEPT
INPUT,tcp,76.139.220.40,31753,75.103.106.219,5786,DROP
INPUT,tcp,172.12.40.2,29853,252.141.17.54,34338,ACCEPT
OUTPUT,udp,184.162.163.131,32486,236.169.180.104,55228,DROP
OUTPUT,tcp,136.77.230.41,39224,254.138.113.154,30815,ACCEPT
INPUT,tcp,120.37.160.98,39277,12.15.129.251,26325,ACCEPT
FORWARD,tcp,243.51.225.196,30040,66.80.203.140,1984,DROP
OUTPUT,tcp,53.1.188.239,44312,186.55.148.24,55455,DROP
OUTPUT,udp,133.6.36.171,45657,170.68.175.52,46095,ACCEPT
INPUT,tcp,51.183.3.64,28513,241.34.36.27,34381,ACCEPT
INPUT,udp,136.227.27.235,11172,152.71.191.72,24243,ACCEPT
